,grey,hexCode
0,255,#ffffff
1,254,#ffffff
2,253,#fefefe
3,252,#fefefe
4,251,#fdfdfd
5,250,#fdfdfd
6,249,#fcfcfc
7,248,#fcfcfc
8,247,#fbfbfb
9,246,#fbfbfb
10,245,#fafafa
11,244,#fafafa
12,243,#f9f9f9
13,242,#f9f9f9
14,241,#f8f8f8
15,240,#f8f8f8
16,239,#f7f7f7
17,238,#f7f7f7
18,237,#f7f7f7
19,236,#f6f6f6
20,235,#f6f6f6
21,234,#f5f5f5
22,233,#f5f5f5
23,232,#f4f4f4
24,231,#f4f4f4
25,230,#f3f3f3
26,229,#f3f3f3
27,228,#f2f2f2
28,227,#f2f2f2
29,226,#f1f1f1
30,225,#f1f1f1
31,224,#f0f0f0
32,223,#f0f0f0
33,222,#efefef
34,221,#eeeeee
35,220,#eeeeee
36,219,#ededed
37,218,#ececec
38,217,#ececec
39,216,#ebebeb
40,215,#eaeaea
41,214,#e9e9e9
42,213,#e9e9e9
43,212,#e8e8e8
44,211,#e7e7e7
45,210,#e7e7e7
46,209,#e6e6e6
47,208,#e5e5e5
48,207,#e4e4e4
49,206,#e4e4e4
50,205,#e3e3e3
51,204,#e2e2e2
52,203,#e1e1e1
53,202,#e1e1e1
54,201,#e0e0e0
55,200,#dfdfdf
56,199,#dfdfdf
57,198,#dedede
58,197,#dddddd
59,196,#dcdcdc
60,195,#dcdcdc
61,194,#dbdbdb
62,193,#dadada
63,192,#dadada
64,191,#d9d9d9
65,190,#d8d8d8
66,189,#d7d7d7
67,188,#d6d6d6
68,187,#d5d5d5
69,186,#d4d4d4
70,185,#d4d4d4
71,184,#d3d3d3
72,183,#d2d2d2
73,182,#d1d1d1
74,181,#d0d0d0
75,180,#cfcfcf
76,179,#cecece
77,178,#cdcdcd
78,177,#cccccc
79,176,#cccccc
80,175,#cbcbcb
81,174,#cacaca
82,173,#c9c9c9
83,172,#c8c8c8
84,171,#c7c7c7
85,170,#c6c6c6
86,169,#c5c5c5
87,168,#c5c5c5
88,167,#c4c4c4
89,166,#c3c3c3
90,165,#c2c2c2
91,164,#c1c1c1
92,163,#c0c0c0
93,162,#bfbfbf
94,161,#bebebe
95,160,#bebebe
96,159,#bdbdbd
97,158,#bbbbbb
98,157,#bababa
99,156,#b9b9b9
100,155,#b8b8b8
101,154,#b6b6b6
102,153,#b5b5b5
103,152,#b4b4b4
104,151,#b3b3b3
105,150,#b2b2b2
106,149,#b0b0b0
107,148,#afafaf
108,147,#aeaeae
109,146,#adadad
110,145,#ababab
111,144,#aaaaaa
112,143,#a9a9a9
113,142,#a8a8a8
114,141,#a7a7a7
115,140,#a5a5a5
116,139,#a4a4a4
117,138,#a3a3a3
118,137,#a2a2a2
119,136,#a0a0a0
120,135,#9f9f9f
121,134,#9e9e9e
122,133,#9d9d9d
123,132,#9c9c9c
124,131,#9a9a9a
125,130,#999999
126,129,#989898
127,128,#979797
128,127,#959595
129,126,#949494
130,125,#939393
131,124,#929292
132,123,#919191
133,122,#909090
134,121,#8f8f8f
135,120,#8e8e8e
136,119,#8d8d8d
137,118,#8c8c8c
138,117,#8a8a8a
139,116,#898989
140,115,#888888
141,114,#878787
142,113,#868686
143,112,#858585
144,111,#848484
145,110,#838383
146,109,#828282
147,108,#818181
148,107,#7f7f7f
149,106,#7e7e7e
150,105,#7d7d7d
151,104,#7c7c7c
152,103,#7b7b7b
153,102,#7a7a7a
154,101,#797979
155,100,#787878
156,99,#777777
157,98,#767676
158,97,#757575
159,96,#737373
160,95,#727272
161,94,#717171
162,93,#707070
163,92,#6f6f6f
164,91,#6e6e6e
165,90,#6d6d6d
166,89,#6c6c6c
167,88,#6b6b6b
168,87,#6a6a6a
169,86,#696969
170,85,#686868
171,84,#676767
172,83,#666666
173,82,#656565
174,81,#646464
175,80,#636363
176,79,#626262
177,78,#616161
178,77,#606060
179,76,#5f5f5f
180,75,#5e5e5e
181,74,#5d5d5d
182,73,#5c5c5c
183,72,#5b5b5b
184,71,#5a5a5a
185,70,#585858
186,69,#575757
187,68,#565656
188,67,#555555
189,66,#545454
190,65,#535353
191,64,#525252
192,63,#515151
193,62,#505050
194,61,#4e4e4e
195,60,#4d4d4d
196,59,#4b4b4b
197,58,#4a4a4a
198,57,#484848
199,56,#474747
200,55,#464646
201,54,#444444
202,53,#434343
203,52,#414141
204,51,#404040
205,50,#3f3f3f
206,49,#3d3d3d
207,48,#3c3c3c
208,47,#3a3a3a
209,46,#393939
210,45,#383838
211,44,#363636
212,43,#353535
213,42,#333333
214,41,#323232
215,40,#303030
216,39,#2f2f2f
217,38,#2e2e2e
218,37,#2c2c2c
219,36,#2b2b2b
220,35,#292929
221,34,#282828
222,33,#272727
223,32,#252525
224,31,#242424
225,30,#232323
226,29,#222222
227,28,#212121
228,27,#1f1f1f
229,26,#1e1e1e
230,25,#1d1d1d
231,24,#1c1c1c
232,23,#1b1b1b
233,22,#1a1a1a
234,21,#181818
235,20,#171717
236,19,#161616
237,18,#151515
238,17,#141414
239,16,#131313
240,15,#111111
241,14,#101010
242,13,#0f0f0f
243,12,#0e0e0e
244,11,#0d0d0d
245,10,#0c0c0c
246,9,#0a0a0a
247,8,#090909
248,7,#080808
249,6,#070707
250,5,#060606
251,4,#050505
252,3,#030303
253,2,#020202
254,1,#010101
255,0,#000000
